position,item_id,card_type,package_type,redeem_point,category
1,ZdaNqxMq0nZj,black,,99,primary
2,Nd6WrPJVgOZ0,black,,99,primary
3,4LBElkvlOXPw,black|red|blue,,99,primary
4,8WZ3Y4AGpJly,black|red|blue|green,,69,primary
5,xWLoVwVZ0oAO,black,,30,primary
6,dZ576Q12y7AO,black|red|blue,,99,primary
7,9PgVvWdG67Aq,black,,0,primary
8,LJZNkvK5MaqJ,black,,0,primary
9,qDVq5R7j7kAP,black,,0,primary
10,V6jn9eq3xle6,no_card,,0,secondary
11,67BNWXMeAlw7,no_card,postpaid,0,secondary
12,L5ejM1eMLJo4,no_card,,69,secondary
13,7nky1j9PXyLD,no_card,postpaid,0,secondary
14,0rnXeYkepOpd,no_card,postpaid,0,secondary
15,OKxWJoxLvoW4,no_card,all,29,secondary
16,5m2r5RjOpZ0m,no_card,all,29,secondary
17,vybRPmLLovGy,no_card,all,29,secondary
18,w4pP3Brqkra4,no_card,postpaid,0,secondary
19,RnY2EDQaAmqo,no_card,postpaid,0,secondary
20,kevWN4ypq7Ew,no_card,postpaid,0,secondary
21,aLymDegRgd9L,no_card,,0,secondary
22,41wERBXWdrZ8,no_card,postpaid,0,secondary
23,1paxm2O0v0LY,no_card,postpaid,0,secondary
24,l8nYW3wW0oqp,no_card,postpaid,0,secondary
25,V2qYb4J6zag2,no_card,postpaid,29,secondary
26,ZGox35leRmVD,no_card,postpaid,0,secondary
27,QWpLYn1qKyDW,no_card,,40,secondary
28,OAdb09aQ56n8,no_card,postpaid,0,secondary
29,V3PyB2z7JreO,no_card,postpaid,0,secondary
30,YEYQwMk1oLlE,no_card,postpaid,0,secondary
